team,player_fullname,position,club,club_country
Tunisia,Hazem Mastouri,FWD,Dynamo Makhachkala,Tunisia
Tunisia,Firas Chaouat,FWD,Club Africain,Tunisia
Tunisia,Sebastian Tounekti,MID,Celtic,Scotland
Turkey,Altay Bayındır,GK,Manchester United,England
Turkey,Ugurcan Cakır,GK,Galatasaray,Turkey
Turkey,Berke Ozer,GK,Lille,France
Turkey,Zeki Celik,DEF,Roma,Italy
Turkey,Merih Demiral,DEF,Al-Ahli,Saudi Arabia
Turkey,Caglar Soyuncu,DEF,Fenerbahçe,Turkey
Turkey,Yusuf Akcicek,DEF,Al-Hilal,Saudi Arabia
Turkey,Mert Muldur,DEF,Fenerbahçe,Turkey
Turkey,Ferdi Kadıoglu,DEF,Brighton & Hove Albion,England
Turkey,Mustafa Eskihellac,MID,Trabzonspor,Turkey
Turkey,Emirhan Topcu,DEF,Beşiktaş,Turkey
Turkey,Mert Gunok,GK,Beşiktaş,Turkey
Turkey,Muhammed Sengezer,GK,İstanbul Başakşehir,Turkey
Turkey,Salih Ozcan,DEF,Borussia Dortmund,Germany
Turkey,Orkun Kokcu,MID,Beşiktaş,Turkey
Turkey,Isak Vural,MID,Pisa,Italy
Turkey,Atakan Karazor,DEF,VfB Stuttgart,Germany
Turkey,Barıs Alper Yılmaz,MID,Galatasaray,Turkey
Turkey,Arda Guler,MID,Real Madrid,Spain
Turkey,Kenan Yıldız,MID,Juventus,Italy
Turkey,Samet Akaydin,DEF,Çaykur Rizespor,Turkey
Turkey,Yusuf Sarı,MID,İstanbul Başakşehir,Turkey
Turkey,Ahmed Kutucu,FWD,Galatasaray,Turkey
Turkey,Irfan Kahveci,MID,Fenerbahçe,Turkey
Turkey,Oguz Aydın,MID,Fenerbahçe,Turkey
Turkey,Deniz Gul,FWD,Porto,Portugal
Ukraine,Dmytro Riznyk,GK,Shakhtar Donetsk,Ukraine
Ukraine,Ruslan Neshcheret,GK,Dynamo Kyiv,Ukraine
Ukraine,Andriy Lunin,GK,Real Madrid,Spain
Ukraine,Yukhym Konoplya,DEF,Shakhtar Donetsk,Ukraine
Ukraine,Bohdan Mykhaylichenko,DEF,Polissya Zhytomyr,Ukraine
Ukraine,Oleksandr Svatok,DEF,Austin FC,United States
Ukraine,Valeriy Bondar,DEF,Shakhtar Donetsk,Ukraine
Ukraine,Illia Zabarnyi,DEF,Paris Saint-Germain,France
Ukraine,Taras Mykhavko,DEF,Dynamo Kyiv,Ukraine
Ukraine,Vitaliy Mykolenko,DEF,Everton,England
Ukraine,Oleksandr Karavayev,MID,Dynamo Kyiv,Ukraine
Ukraine,Yevhen Volynets,GK,Polissya Zhytomyr,Ukraine
Ukraine,Anatoliy Trubin,GK,Benfica,Portugal
Ukraine,Ivan Kalyuzhnyi,MID,Oleksandriya,Ukraine
Ukraine,Ruslan Malinovskyi,MID,Genoa,Italy
Ukraine,Mykola Shaparenko,MID,Dynamo Kyiv,Ukraine
Ukraine,Oleksiy Hutsulyak,MID,Polissya Zhytomyr,Ukraine
Ukraine,Viktor Tsyhankov,MID,Girona,Spain
Ukraine,Nazar Voloshyn,MID,Dynamo Kyiv,Ukraine
Ukraine,Oleksandr Zubkov,MID,Trabzonspor,Turkey
Ukraine,Heorhiy Bushchan,GK,Polissya Zhytomyr,Ukraine
Ukraine,Mykola Matviyenko,DEF,Shakhtar Donetsk,Ukraine
Ukraine,Yehor Nazaryna,MID,Shakhtar Donetsk,Ukraine
Ukraine,Yehor Yarmolyuk,MID,Brentford,England
Ukraine,Vladyslav Vanat,FWD,Girona,Spain
Ukraine,Roman Yaremchuk,FWD,Olympiacos,Greece
United States,Matt Turner,GK,New England Revolution,United States
United States,Matt Freese,GK,New York City FC,United States
United States,Patrick Schulte,GK,Columbus Crew,United States
United States,Sergino Dest,DEF,PSV,Netherlands
United States,Antonee Robinson,DEF,Fulham,England
United States,Chris Richards,DEF,Crystal Palace,England
United States,John Tolkin,DEF,Holstein Kiel,Germany
United States,Joe Scally,DEF,Borussia Mönchengladbach,Germany
United States,Miles Robinson,DEF,FC Cincinnati,United States
United States,Auston Trusty,DEF,Celtic,Scotland
United States,Mark McKenzie,DEF,Toulouse FC,France
United States,Tyler Adams,MID,Bournemouth,England
United States,Yunus Musah,MID,Atalanta,Italy
United States,Weston McKennie,MID,Juventus,Italy
United States,Cristian Roldan,MID,Seattle Sounders FC,United States
United States,Giovanni Reyna,MID,Borussia Mönchengladbach,Germany
United States,Tanner Tessmann,MID,Lyon,France
United States,Aidan Morris,MID,Middlesbrough,England
United States,Brenden Aaronson,MID,Leeds United,Germany
United States,Tim Ream,DEF,Charlotte FC,United States
United States,Christian Pulisic,MID,AC Milan,Italy
United States,Tim Weah,DEF,Marseille,France
United States,Ricardo Pepi,FWD,PSV,Netherlands
United States,Diego Luna,FWD,Real Salt Lake,United States
United States,Haji Wright,MID,Coventry City,England
United States,Folarin Balogun,FWD,Monaco,Monaco
Uruguay,Cristopher Fiermarin,GK,Deportes Tolima,Uruguay
Uruguay,Kevin Martinez,GK,Danubio,Uruguay
Uruguay,Santiago Mele,GK,Monterrey,Mexico
Uruguay,Jose Maria Gimenez,DEF,Atlético Madrid,Spain
Uruguay,Santiago Bueno,DEF,Wolverhampton Wanderers,England
Uruguay,Ronald Araujo,DEF,Barcelona,Spain
Uruguay,Guillermo Varela,DEF,Flamengo,Brazil
Uruguay,Mathias Olivera,DEF,Napoli,Italy
Uruguay,Matias Vina,DEF,Flamengo,Brazil
Uruguay,Joaquin Piquerez,DEF,Palmeiras,Brazil
Uruguay,Jose Luis Rodriguez,DEF,Vasco da Gama,Brazil
Uruguay,Manuel Ugarte,MID,Manchester United,England
Uruguay,Rodrigo Bentancur,MID,Tottenham Hotspur,England
Uruguay,Nahitan Nandez,DEF,Al-Qadsiah,Saudi Arabia
Uruguay,Giorgian de Arrascaeta,MID,Flamengo,Brazil
Uruguay,Rodrigo Zalazar,MID,Braga,Portugal
Uruguay,Emiliano Martinez,GK,Aston Villa,Brazil
Uruguay,Maximiliano Araujo,DEF,Sporting CP,Portugal
Uruguay,Juan Manuel Sanabria,DEF,Atlético San Luis,Uruguay
Uruguay,Sebastian Caceres,DEF,América,Colombia
Uruguay,Santiago Homenchenko,DEF,Querétaro,Uruguay
Uruguay,Rodrigo Aguirre,FWD,América,Colombia
Uruguay,Darwin Nuñez,FWD,Al-Hilal, Saudi Arabia
Uruguay,Brian Rodriguez,MID,América,Colombia
Uruguay,Luciano Rodriguez,FWD,Neom,Saudi Arabia
Uruguay,Facundo Torres,MID,Palmeiras,Brazil
Uzbekistan,Vladimir Nazarov,GK,Pakhtakor,Uzbekistan
Uzbekistan,Abduvohid Nematov,GK,Nasaf,Uzbekistan
Uzbekistan,Botirali Ergashev,GK,FC Neftchi Fergana,Uzbekistan
Uzbekistan,Abdukodir Khusanov,DEF,Manchester City,England
Uzbekistan,Khojiakbar Alijonov,DEF,Pakhtakor,Uzbekistan
Uzbekistan,Farrukh Sayfiev,DEF,Neftchi Fergana,Uzbekistan
Uzbekistan,Rustam Ashurmatov,DEF,Esteghlal,Iran
Uzbekistan,Sherzod Nasrullaev,DEF,Nasaf,Uzbekistan
Uzbekistan,Umar Eshmurodov,DEF,Nasaf,Uzbekistan
Uzbekistan,Abdulla Abdullaev,DEF,Dibba,United Arab Emirates
Uzbekistan,Husniddin Aliqulov,DEF,Çaykur Rizespor,Turkey
Uzbekistan,Akmal Mozgovoy,MID,Baniyas,Uzbekistan
Uzbekistan,Otabek Shukurov,MID,Baniyas,Uzbekistan
Uzbekistan,Jamshid Iskanderov,MID,Neftchi Fergana,Uzbekistan
Uzbekistan,Odiljon Hamrobekov,MID,Tractor S.C.,Iran
Uzbekistan,Azizjon Ganiev,MID,Al Bataeh,United Arab Emirates
Uzbekistan,Oston Urunov,MID,Persepolis,Iran
Uzbekistan,Dostonbek Khamdamov,MID,Pakhtakor,Uzbekistan
Uzbekistan,Mukhammadkodir Khamraliev,DEF,Pakhtakor,Uzbekistan
Uzbekistan,Azizbek Turgunboev,MID,Pakhtakor,Uzbekistan
Uzbekistan,Khojimat Erkinov,MID,Pakhtakor,Uzbekistan
Uzbekistan,Ruslanbek Jiyanov,FWD,Navbahor,Uzbekistan
Uzbekistan,Sardorbek Bakhromov,MID,Nasaf Qarshi,Uzbekistan
Uzbekistan,Eldor Shomurodov,FWD,İstanbul Başakşehir,Turkey
Uzbekistan,Igor Sergeev,FWD,Pakhtakor,Uzbekistan
Uzbekistan,Khusayin Norchaev,FWD,Nasaf,Uzbekistan
Wales,Karl Darlow,GK,Leeds United,England
Wales,Adam Davies,GK,Sheffield United,England
Wales,Tom King,GK,Everton,England
Wales,Joe Rodon,DEF,Leeds United,England
Wales,Chris Mepham,DEF,West Bromwich Albion,England
Wales,Neco Williams,DEF,Nottingham Forest,England
Wales,Rhys Norrington-Davies,DEF,Queens Park Rangers,England
Wales,Jay Dasilva,DEF,Coventry City,England
Wales,Ronan Kpakio,DEF,Cardiff City,England
Wales,Dylan Lawlor,DEF,Cardiff City,England
Wales,Ben Cabango,DEF,Swansea City,England
Wales,Josh Sheehan,MID,Bolton Wanderers,England
Wales,Liam Cullen,MID,Swansea City,England
Wales,Rubin Colwill,MID,Cardiff City,England
Wales,Joel Colwill,MID,Cardiff City,England
Wales,Harry Wilson,MID,Fulham,England
Wales,Brennan Johnson,MID,Tottenham Hotspur,England
Wales,Lewis Koumas,MID,Birmingham City,England
Wales,Danny Ward,MID,Wrexham,England
Wales,Daniel James,FWD,Leeds United,England
Wales,David Brooks,FWD,Bournemouth,England
Wales,Sorba Thomas,MID,Stoke City,England
Wales,Nathan Broadhead,MID,Wrexham,England
Wales,Mark Harris,FWD,Oxford United,England
Wales,Isaak Davies,FWD,Cardiff City,England
Wales,Ben Davies,FWD,Tottenham Hotspur,England
